Period,Profit Margin (Quarterly)
2017-12-31,2.9534
2017-09-30,12.4950
2017-06-30,12.5169
2017-03-31,11.8514
2016-12-31,11.8464
2016-09-30,12.1655
2016-06-30,13.0585
2016-03-31,11.5403
2015-12-31,12.4804
2015-09-30,11.7741
2015-06-30,10.8799
2015-03-31,9.4422
2014-12-31,8.4876
2014-09-30,8.7001
2014-06-30,9.6238
2014-03-31,8.4571
2013-12-31,7.5863
2013-09-30,8.6162
2013-06-30,7.6671
2013-03-31,7.6531
