Period,Profit Margin (Quarterly)
2017-12-31,6.2751
2017-09-30,7.2587
2017-06-30,6.0976
2017-03-31,5.6915
2016-12-31,6.0150
2016-09-30,7.3617
2016-06-30,6.7493
2016-03-31,5.0843
2015-12-31,-2.4952
2015-09-30,7.1858
2015-06-30,6.6653
2015-03-31,3.9925
2014-12-31,-15.0187
2014-09-30,5.7243
2014-06-30,6.6087
2014-03-31,5.4668
2013-12-31,-4.5648
2013-09-30,6.8472
2013-06-30,6.2165
2013-03-31,6.3608
