Period,Profit Margin (Quarterly)
2017-12-31,36.1877
2017-09-30,16.4041
2017-06-30,15.8245
2017-03-31,14.5513
2016-12-31,18.0136
2016-09-30,17.6776
2016-06-30,16.9682
2016-03-31,16.7788
2015-12-31,22.1056
2015-09-30,18.1481
2015-06-30,19.2549
2015-03-31,18.0026
2014-12-31,19.6520
2014-09-30,17.5892
2014-06-30,17.7774
2014-03-31,17.6519
2013-12-31,18.6356
2013-09-30,16.4679
2013-06-30,14.2030
2013-03-31,16.9459
