Period,Profit Margin (Quarterly)
2017-12-31,-10.2394
2017-09-30,5.3890
2017-06-30,4.7748
2017-03-31,2.1990
2016-12-31,5.6079
2016-09-30,-1.6746
2016-06-30,5.2923
2016-03-31,3.5791
2015-12-31,4.8358
2015-09-30,8.5385
2015-06-30,6.4537
2015-03-31,2.7267
2014-12-31,11.1169
2014-09-30,10.6778
2014-06-30,10.0878
2014-03-31,10.0862
2013-12-31,10.1538
2013-09-30,10.2738
2013-06-30,9.7123
2013-03-31,8.9175
