Period,Profit Margin (Quarterly)
2017-12-31,1.6901
2017-09-30,2.9718
2017-06-30,5.3333
2017-03-31,5.2469
2016-12-31,3.6982
2016-09-30,5.6426
2016-06-30,6.2593
2016-03-31,4.4925
2015-12-31,7.0292
2015-09-30,6.1765
2015-06-30,41.0053
2015-03-31,4.7014
2014-12-31,5.4028
2014-09-30,4.4135
2014-06-30,5.5094
2014-03-31,5.1408
2013-12-31,11.7878
2013-09-30,5.5496
2013-06-30,5.2632
2013-03-31,7.7596
