Period,Profit Margin (Quarterly)
2017-12-31,16.5753
2017-09-30,5.8340
2017-06-30,5.4337
2017-03-31,5.4408
2016-12-31,0.7083
2016-09-30,5.0102
2016-06-30,4.0059
2016-03-31,-0.0812
2015-12-31,5.3020
2015-09-30,4.6512
2015-06-30,4.3908
2015-03-31,6.2295
2014-12-31,0.4426
2014-09-30,7.0056
2014-06-30,2.4027
2014-03-31,7.6628
2013-12-31,5.8679
2013-09-30,-10.1652
2013-06-30,2.7128
2013-03-31,4.9927
