Period,Profit Margin (Quarterly)
2017-09-30,0.6278
2017-06-30,1.1683
2017-03-31,-1.4268
2016-12-31,-1.5347
2016-09-30,7.3677
2016-06-30,8.5607
2016-03-31,-2.4004
2015-12-31,-88.2522
2015-09-30,1.8027
2015-06-30,6.3485
2015-03-31,2.1403
2014-12-31,8.2644
2014-09-30,7.7767
2014-06-30,6.5412
2014-03-31,4.5061
2013-12-31,7.6361
2013-09-30,8.1009
2013-06-30,6.7054
2013-03-31,5.6770
