Period,Profit Margin (Quarterly)
2017-12-31,11.8804
2017-09-30,12.5912
2017-06-30,13.3891
2017-03-31,13.3325
2016-12-31,13.5613
2016-09-30,13.2093
2016-06-30,12.5575
2016-03-31,10.5621
2015-12-31,9.4046
2015-09-30,10.8741
2015-06-30,12.4383
2015-03-31,9.4027
2014-12-31,11.8965
2014-09-30,14.7699
2014-06-30,11.3954
2014-03-31,8.9791
2013-12-31,13.2269
2013-09-30,11.3724
2013-06-30,10.2152
2013-03-31,7.9102
