Period,Gross Profit Margin (Quarterly)
2017-12-31,15.7837
2017-06-30,18.2761
2017-03-31,17.3805
2016-12-31,17.0991
2016-09-30,15.7222
2016-06-30,17.9665
2016-03-31,17.3776
2015-12-31,17.6071
2015-09-30,18.7225
2015-06-30,18.8135
2015-03-31,17.8164
2014-12-31,-2.9747
2014-09-30,16.4887
2014-06-30,19.2167
2014-03-31,18.5439
2013-12-31,23.9941
2013-09-30,19.4729
2013-06-30,19.5991
2013-03-31,17.1843
