Period,Gross Profit Margin (Quarterly)
2017-12-31,-2.0613
2017-09-30,-54.8770
2017-06-30,-17.0468
2017-03-31,-29.3994
2016-12-31,9.2424
2016-09-30,2.1698
2016-06-30,1.8769
2016-03-31,1.1088
2015-12-31,-24.5037
2015-09-30,0.2418
2015-06-30,6.5059
2015-03-31,-22.4193
2014-12-31,-7.7285
2014-09-30,-5.4977
2014-06-30,1.1258
2014-03-31,-41.3821
2013-12-31,-39.2230
2013-09-30,-84.6303
2013-06-30,-26.7939
2013-03-31,-33.7183
