Period,Gross Profit Margin (Quarterly)
2017-12-31,28.2320
2017-09-30,28.2685
2017-06-30,28.7770
2017-03-31,28.0879
2016-12-31,28.3587
2016-09-30,28.5397
2016-06-30,28.1464
2016-03-31,27.6059
2015-12-31,28.3719
2015-09-30,28.1992
2015-06-30,28.3092
2015-03-31,27.5536
2014-12-31,28.2944
2014-09-30,27.7552
2014-06-30,27.8831
2014-03-31,27.7052
2013-12-31,28.0751
2013-09-30,28.0511
2013-06-30,28.2772
2013-03-31,28.0542
