Period,Gross Profit Margin (Quarterly)
2017-12-31,33.9586
2017-09-30,33.5176
2017-06-30,33.9727
2017-03-31,34.3475
2016-12-31,31.5789
2016-09-30,33.6864
2016-06-30,34.4508
2016-03-31,33.0960
2015-12-31,31.9975
2015-09-30,33.0724
2015-06-30,33.9477
2015-03-31,32.3604
2014-12-31,33.4703
2014-09-30,35.0958
2014-06-30,34.5257
2014-03-31,33.6003
2013-12-31,31.1434
2013-09-30,33.3696
2013-06-30,35.7096
2013-03-31,32.8337
