Period,Gross Profit Margin (Quarterly)
2017-12-31,23.3419
2017-09-30,25.6076
2017-06-30,24.6717
2017-03-31,24.8549
2016-12-31,19.3548
2016-09-30,21.9414
2016-06-30,24.0541
2016-03-31,24.2647
2015-12-31,21.6946
2015-09-30,22.5265
2015-06-30,23.6971
2015-03-31,22.3268
2014-12-31,22.7715
2014-09-30,23.6559
2014-06-30,22.3954
2014-03-31,23.4388
2013-12-31,25.8621
2013-09-30,24.1868
2013-06-30,24.7967
2013-03-31,23.1209
