Period,Gross Profit Margin (Quarterly)
2017-12-31,29.4382
2017-09-30,30.2850
2017-06-30,27.9336
2017-03-31,30.9861
2016-12-31,30.5747
2016-09-30,29.3866
2016-06-30,31.2115
2016-03-31,32.2498
2015-12-31,30.2048
2015-09-30,35.4545
2015-06-30,31.7568
2015-03-31,32.6950
2014-12-31,34.8392
2014-09-30,35.0071
2014-06-30,35.1449
2014-03-31,35.3066
2013-12-31,33.8605
2013-09-30,34.3954
2013-06-30,34.0111
2013-03-31,34.0424
