Period,Gross Profit Margin (Quarterly)
2017-12-31,42.4790
2017-09-30,40.6764
2017-06-30,41.5449
2017-03-31,43.5646
2016-12-31,42.4440
2016-09-30,43.5656
2016-06-30,43.3587
2016-03-31,43.0847
2015-12-31,42.3734
2015-09-30,-136.0996
2015-06-30,40.5960
2015-03-31,40.1111
2014-12-31,40.8090
2014-09-30,None
2014-06-30,41.7934
2014-03-31,41.2078
2013-12-31,39.8858
2013-09-30,41.1627
2013-06-30,40.4792
2013-03-31,39.8154
