Period,EPS Diluted (TTM)
2017-12-31,0.4300
2017-09-30,0.6400
2017-06-30,0.5800
2017-03-31,0.7400
2016-12-31,0.8100
2016-09-30,0.9600
2016-06-30,1.0700
2016-03-31,0.9300
2015-12-31,0.5900
2015-09-30,0.7500
2015-06-30,0.6800
2015-03-31,0.7700
2014-12-31,1.0500
2014-09-30,0.9400
2014-06-30,1.0800
2014-03-31,1.1900
2013-12-31,1.5200
2013-09-30,-0.0300
2013-06-30,0.6400
2013-03-31,1.3500
