Period,EPS Diluted (TTM)
2017-12-31,1.0300
2017-09-30,1.0500
2017-06-30,1.0500
2017-03-31,1.0000
2016-12-31,0.8900
2016-09-30,0.7900
2016-06-30,0.7800
2016-03-31,0.8500
2015-12-31,0.8700
2015-09-30,1.0700
2015-06-30,1.1300
2015-03-31,1.1500
2014-12-31,1.1400
2014-09-30,1.0600
2014-06-30,1.1000
2014-03-31,1.1500
2013-12-31,1.2000
2013-09-30,1.2400
2013-06-30,1.2100
2013-03-31,1.1700
