Period,EPS Diluted (TTM)
2017-12-31,24.6400
2017-09-30,23.0500
2017-06-30,0.8400
2017-03-31,0.6000
2016-12-31,-1.8500
2016-09-30,-1.4200
2016-06-30,-1.1900
2016-03-31,-3.0200
2015-12-31,-0.9400
2015-09-30,-1.0800
2015-06-30,-1.2600
2015-03-31,0.7200
2014-12-31,0.8400
2014-09-30,0.9100
2014-06-30,0.8100
2014-03-31,0.8400
2013-12-31,1.1800
2013-09-30,1.2300
2013-06-30,1.5300
2013-03-31,1.6500
