Period,EPS Diluted (TTM)
2017-12-31,1.2200
2017-09-30,1.4200
2017-06-30,1.2800
2017-03-31,1.1700
2016-12-31,1.0400
2016-09-30,1.0800
2016-06-30,1.0000
2016-03-31,1.1000
2015-12-31,1.3400
2015-09-30,1.6300
2015-06-30,2.0700
2015-03-31,3.1800
2014-12-31,2.9800
2014-09-30,2.6500
2014-06-30,2.5400
2014-03-31,1.5300
2013-12-31,1.5200
2013-09-30,1.3800
2013-06-30,0.9400
2013-03-31,0.4900
