Period,EPS Diluted (TTM)
2017-12-31,4.7400
2017-09-30,4.6000
2017-06-30,4.5300
2017-03-31,4.6100
2016-12-31,4.5200
2016-09-30,3.0800
2016-06-30,3.1700
2016-03-31,3.3000
2015-12-31,3.1800
2015-09-30,1.0300
2015-06-30,0.6700
2015-03-31,0.5200
2014-12-31,0.6700
2014-09-30,2.5100
2014-06-30,2.6200
2014-03-31,2.5100
2013-12-31,2.6400
2013-09-30,4.0800
2013-06-30,4.2100
2013-03-31,4.5700
