Period,EPS Diluted (TTM)
2017-12-31,1.7600
2017-09-30,1.8200
2017-06-30,1.8600
2017-03-31,1.9700
2016-12-31,2.1000
2016-09-30,1.8800
2016-06-30,1.8800
2016-03-31,2.0600
2015-12-31,2.1700
2015-09-30,2.3900
2015-06-30,2.3000
2015-03-31,2.1300
2014-12-31,2.0900
2014-09-30,2.0200
2014-06-30,2.1900
2014-03-31,2.2600
2013-12-31,2.1000
2013-09-30,2.1600
2013-06-30,2.0200
2013-03-31,1.9700
