Period,EPS Diluted (TTM)
2017-12-31,4.3600
2017-09-30,3.9000
2017-06-30,3.7300
2017-03-31,3.6400
2016-12-31,3.5400
2016-09-30,3.6600
2016-06-30,3.7700
2016-03-31,3.6700
2015-12-31,3.6200
2015-09-30,3.5200
2015-06-30,3.3800
2015-03-31,3.3700
2014-12-31,3.4400
2014-09-30,3.4900
2014-06-30,3.3900
2014-03-31,3.2700
2013-12-31,3.1000
2013-09-30,0.8500
2013-06-30,0.6700
2013-03-31,0.5600
