Period,EPS Diluted (TTM)
2017-12-31,6.7000
2017-09-30,6.3600
2017-06-30,4.3700
2017-03-31,4.2900
2016-12-31,4.2100
2016-09-30,4.2300
2016-06-30,4.0400
2016-03-31,4.1100
2015-12-31,4.2200
2015-09-30,4.3200
2015-06-30,4.6200
2015-03-31,3.8400
2014-12-31,3.7700
2014-09-30,3.5400
2014-06-30,3.3500
2014-03-31,4.0300
2013-12-31,3.9000
2013-09-30,3.3100
2013-06-30,3.2600
2013-03-31,3.3400
