Period,EPS Diluted (TTM)
2017-08-31,1.9700
2017-05-31,2.0300
2017-02-28,2.3300
2016-11-30,2.5100
2016-08-31,2.7200
2016-05-31,3.0100
2016-02-29,2.9700
2015-11-30,2.9800
2015-08-31,2.8400
2015-05-31,2.7000
2015-02-28,2.5100
2014-11-30,2.2800
2014-08-31,2.2300
2014-05-31,2.3400
2014-02-28,2.3300
2013-11-30,2.4500
2013-08-31,2.3300
2013-05-31,2.3100
2013-02-28,2.3700
